session_id,round_idx,prefix_len,input_len,output_len,tool_wait_after_ms,arrival_time
claude:cfff2b85-21ba-d608-0402-deffb600f13f,0,13045,2614,202,11888,440867
claude:cfff2b85-21ba-d608-0402-deffb600f13f,1,15656,649,540,0,440867
claude:d0d09a93-09ac-cc28-1b2a-e7b8a3e83f42,0,12978,2842,217,18905,3241291
claude:d0d09a93-09ac-cc28-1b2a-e7b8a3e83f42,1,15817,4653,381,53251,3241291
claude:d0d09a93-09ac-cc28-1b2a-e7b8a3e83f42,2,20469,3555,149,10556,3241291
claude:d0d09a93-09ac-cc28-1b2a-e7b8a3e83f42,3,21182,3536,832,0,3241291
claude:d0e6921b-ac8a-6cc8-5930-55e396b0bdd0,0,12978,2842,4,17999,2688144
claude:d0e6921b-ac8a-6cc8-5930-55e396b0bdd0,1,15817,4507,359,0,2688144
claude:d413b0e9-1f02-818c-dcd2-d211f6e3ff95,0,12978,2842,217,25537,2806792
claude:d413b0e9-1f02-818c-dcd2-d211f6e3ff95,1,15817,4907,344,0,2806792
claude:d944fb06-723c-8969-dc29-e331d5a48bac,0,12978,2779,205,15746,3233332
claude:d944fb06-723c-8969-dc29-e331d5a48bac,1,15754,4287,308,3633,3233332
claude:d944fb06-723c-8969-dc29-e331d5a48bac,2,17496,3394,102,22181,3233332
claude:d944fb06-723c-8969-dc29-e331d5a48bac,3,20660,1831,770,0,3233332
claude:da4782ac-13b4-d698-fe3c-91eccf1bfed3,0,12978,2751,197,4535,944512
claude:da4782ac-13b4-d698-fe3c-91eccf1bfed3,1,15726,1799,255,3481,944512
claude:da4782ac-13b4-d698-fe3c-91eccf1bfed3,2,17524,787,244,54288,944512
claude:da4782ac-13b4-d698-fe3c-91eccf1bfed3,3,18045,2282,878,0,944512
claude:db92fa7a-081d-89b5-f93f-5abb166eaba6,0,13045,2624,165,179044,1
claude:db92fa7a-081d-89b5-f93f-5abb166eaba6,1,15666,618,253,60675,1
claude:db92fa7a-081d-89b5-f93f-5abb166eaba6,2,16283,1494,1,0,1
claude:dd7fdcf9-a466-ee81-d836-af43ea1ac5a7,0,12978,2744,199,77182,482034
claude:dd7fdcf9-a466-ee81-d836-af43ea1ac5a7,1,15719,3951,221,0,482034
claude:ddd25507-8571-7f4f-aece-4e3d39df55dd,0,13045,2631,206,55084,212327
claude:ddd25507-8571-7f4f-aece-4e3d39df55dd,1,15673,667,538,0,212327
claude:de3c5222-b564-a418-22cf-a4216aef0ce9,0,12978,2790,4,3935,3589557
claude:de3c5222-b564-a418-22cf-a4216aef0ce9,1,15765,3586,379,24062,3589557
claude:de3c5222-b564-a418-22cf-a4216aef0ce9,2,19350,2484,257,40407,3589557
claude:de3c5222-b564-a418-22cf-a4216aef0ce9,3,20050,3753,1094,0,3589557
claude:df3f75c2-40ef-c1a6-c30e-997d48fa7e4b,0,15748,3,149,29413,2789459
claude:df3f75c2-40ef-c1a6-c30e-997d48fa7e4b,1,15748,3208,313,2648,2789459
claude:df3f75c2-40ef-c1a6-c30e-997d48fa7e4b,2,18955,886,383,28801,2789459
claude:df3f75c2-40ef-c1a6-c30e-997d48fa7e4b,3,19630,1276,2,191452,2789459
claude:df3f75c2-40ef-c1a6-c30e-997d48fa7e4b,4,20905,1870,965,0,2789459
claude:df7977ee-4e0a-f92e-b807-d3ef84dad67b,0,13045,2607,152,5142,0
claude:df7977ee-4e0a-f92e-b807-d3ef84dad67b,1,15649,504,233,41216,0
claude:df7977ee-4e0a-f92e-b807-d3ef84dad67b,2,16152,1042,723,0,0
claude:df901848-6bc3-e700-45d7-7c325578cd53,0,12978,2730,223,78318,3440773
claude:df901848-6bc3-e700-45d7-7c325578cd53,1,15705,1883,1,3377,3440773
claude:df901848-6bc3-e700-45d7-7c325578cd53,2,17587,1851,160,0,3440773
claude:e15cb754-17a4-4e24-0e0f-7321dbabb58b,0,12978,2751,202,33714,1091002
claude:e15cb754-17a4-4e24-0e0f-7321dbabb58b,1,15726,1801,192,16561,1091002
claude:e15cb754-17a4-4e24-0e0f-7321dbabb58b,2,17526,1576,1,123155,1091002
claude:e15cb754-17a4-4e24-0e0f-7321dbabb58b,3,18098,1479,129,24336,1091002
claude:e15cb754-17a4-4e24-0e0f-7321dbabb58b,4,19576,1435,776,0,1091002
claude:ea374d13-75a0-3747-9991-afc25ba40d7c,0,12978,2744,252,12267,1653251
claude:ea374d13-75a0-3747-9991-afc25ba40d7c,1,15719,2967,158,16161,1653251
claude:ea374d13-75a0-3747-9991-afc25ba40d7c,2,18685,2381,212,4239,1653251
claude:ea374d13-75a0-3747-9991-afc25ba40d7c,3,21065,501,911,0,1653251
claude:eaf97f9a-0276-2a62-1816-969fbda79c80,0,13045,2609,173,5960,440868
claude:eaf97f9a-0276-2a62-1816-969fbda79c80,1,15651,552,434,0,440868
claude:ed21cd1a-6942-5e67-6e00-56c6ab5dd1e3,0,13045,2624,178,5660,212327
claude:ed21cd1a-6942-5e67-6e00-56c6ab5dd1e3,1,15666,616,461,0,212327
claude:eeaaf5c1-8d2f-5ef5-0870-b75bf888811a,0,12978,2842,177,21117,2995789
claude:eeaaf5c1-8d2f-5ef5-0870-b75bf888811a,1,15817,2866,288,90209,2995789
claude:eeaaf5c1-8d2f-5ef5-0870-b75bf888811a,2,18682,2631,182,25833,2995789
claude:eeaaf5c1-8d2f-5ef5-0870-b75bf888811a,3,21312,477,95,538180,2995789
claude:eeaaf5c1-8d2f-5ef5-0870-b75bf888811a,4,12978,9012,850,0,2995789
claude:eebeb526-537a-e357-7461-0872c613934a,0,12978,2730,168,42829,3492645
claude:eebeb526-537a-e357-7461-0872c613934a,1,15705,2851,210,29188,3492645
claude:eebeb526-537a-e357-7461-0872c613934a,2,18555,1717,95,40532,3492645
claude:eebeb526-537a-e357-7461-0872c613934a,3,19033,4066,758,0,3492645
claude:f13de68d-9e64-b5e6-c37f-2d6e792d6e0c,0,12978,2876,4,18809,2880630
claude:f13de68d-9e64-b5e6-c37f-2d6e792d6e0c,1,15851,2960,303,4355,2880630
claude:f13de68d-9e64-b5e6-c37f-2d6e792d6e0c,2,17356,2368,108,20758,2880630
claude:f13de68d-9e64-b5e6-c37f-2d6e792d6e0c,3,19723,1326,835,0,2880630
claude:f1c16f05-c2c5-9547-6f21-82850a7630b4,0,12978,2728,270,24855,1527940
claude:f1c16f05-c2c5-9547-6f21-82850a7630b4,1,15703,2615,289,5221,1527940
claude:f1c16f05-c2c5-9547-6f21-82850a7630b4,2,16805,2655,191,18311,1527940
claude:f1c16f05-c2c5-9547-6f21-82850a7630b4,3,18956,2060,140,4442,1527940
claude:f1c16f05-c2c5-9547-6f21-82850a7630b4,4,20792,770,96,133237,1527940
claude:f2e10fba-0966-89f3-88b9-2fd0765a412e,0,12978,2716,2,35563,2295415
claude:f2e10fba-0966-89f3-88b9-2fd0765a412e,1,15691,2947,236,7844,2295415
claude:f2e10fba-0966-89f3-88b9-2fd0765a412e,2,18637,863,141,71064,2295415
claude:f2e10fba-0966-89f3-88b9-2fd0765a412e,3,19185,850,708,0,2295415
claude:f4c830e8-6c4d-aa11-5241-796ebed65963,0,12978,2751,255,23704,482040
claude:f4c830e8-6c4d-aa11-5241-796ebed65963,1,15726,2896,260,0,482040
claude:f51af4f8-1b4f-4ebf-bf55-cd7ee5770eb4,0,12978,2716,202,30680,2465629
claude:f51af4f8-1b4f-4ebf-bf55-cd7ee5770eb4,1,15691,3415,237,3937,2465629
claude:f51af4f8-1b4f-4ebf-bf55-cd7ee5770eb4,2,16851,2933,230,4705,2465629
claude:f51af4f8-1b4f-4ebf-bf55-cd7ee5770eb4,3,19783,958,844,0,2465629
claude:f6ccf988-c6a5-a430-b715-c3279f65ac53,0,12978,2773,149,87980,2244118
claude:f6ccf988-c6a5-a430-b715-c3279f65ac53,1,15748,3292,283,35977,2244118
claude:f6ccf988-c6a5-a430-b715-c3279f65ac53,2,19039,1225,268,0,2244118
claude:fa919998-9754-fc37-f8d3-5f935abb5d14,0,12978,2738,233,10081,1376893
claude:fa919998-9754-fc37-f8d3-5f935abb5d14,1,15713,3651,412,0,1376893
claude:fd911739-c5a6-af7d-74f9-f13218954c20,0,15696,3,185,27281,2129998
claude:fd911739-c5a6-af7d-74f9-f13218954c20,1,15696,4002,293,0,2129998
